situation_professionnelle,duree_emploie,revenu_mensuel,secteur_activite,type_contrat,score_professionnelle
sans_emploi,,0,,,71
etudiant,0.0,321658,education,stage,64
employe,31.0,2901797,services,freelance,90
sans_emploi,,0,,,83
sans_emploi,,0,,,84
independant,10.0,1388729,informatique,stage,90
independant,10.0,2686844,commerce,stage,72
retraite,40.0,912785,education,freelance,90
independant,31.0,2244937,commerce,temporaire,90
etudiant,3.0,465908,education,stage,56
sans_emploi,,0,,,59
etudiant,1.0,213219,education,stage,72
independant,8.0,3030439,commerce,cdd,90
sans_emploi,,0,,,78
retraite,36.0,628060,education,freelance,90
employe,16.0,3648467,services,temporaire,90
etudiant,0.0,437449,education,stage,86
employe,28.0,3352511,informatique,stage,90
sans_emploi,,0,,,77
sans_emploi,,0,,,61
sans_emploi,,0,,,73
sans_emploi,,0,,,68
employe,32.0,3300363,agriculture,temporaire,90
retraite,26.0,843731,sante,freelance,87
employe,23.0,1898640,education,stage,90
etudiant,1.0,314856,education,stage,80
retraite,20.0,591372,education,freelance,82
retraite,37.0,516270,education,freelance,90
sans_emploi,,0,,,48
etudiant,1.0,393127,education,stage,74
employe,33.0,1108398,agriculture,temporaire,90
sans_emploi,,0,,,67
employe,37.0,1012405,education,cdd,90
etudiant,1.0,347465,education,stage,77
sans_emploi,,0,,,90
sans_emploi,,0,,,72
etudiant,3.0,380600,education,stage,77
independant,33.0,2244825,informatique,stage,90
retraite,38.0,444682,education,freelance,90
etudiant,4.0,437715,education,stage,77
retraite,40.0,574989,sante,freelance,90
employe,0.0,2025069,education,freelance,90
retraite,27.0,550244,education,freelance,90
employe,8.0,3170764,agriculture,cdd,90
sans_emploi,,0,,,76
employe,34.0,1794329,sante,cdd,90
employe,35.0,2427806,education,temporaire,90
independant,13.0,3151096,autres,cdd,87
employe,1.0,3489412,autres,cdd,90
sans_emploi,,0,,,71
sans_emploi,,0,,,39
sans_emploi,,0,,,83
independant,30.0,2053705,industrie,cdd,90
employe,8.0,3211245,agriculture,freelance,90
independant,14.0,3787833,informatique,cdi,90
retraite,35.0,850111,sante,freelance,90
sans_emploi,,0,,,82
independant,9.0,1408361,autres,temporaire,90
etudiant,1.0,496636,education,stage,66
independant,13.0,1567234,autres,cdi,90
independant,35.0,1494397,services,stage,80
retraite,21.0,532427,education,freelance,90
etudiant,3.0,341964,education,stage,74
etudiant,3.0,228346,education,stage,80
sans_emploi,,0,,,74
retraite,29.0,815206,education,freelance,84
retraite,23.0,854589,education,freelance,81
independant,31.0,3861991,informatique,cdi,90
etudiant,2.0,270220,education,stage,79
retraite,36.0,711483,education,freelance,81
retraite,23.0,481887,education,freelance,86
independant,24.0,2713705,commerce,freelance,90
employe,25.0,2483763,agriculture,stage,90
sans_emploi,,0,,,71
retraite,26.0,686811,education,freelance,90
employe,30.0,3312772,agriculture,freelance,90
sans_emploi,,0,,,57
employe,21.0,1152342,sante,stage,90
retraite,30.0,507802,sante,freelance,90
etudiant,5.0,454138,education,stage,60
independant,34.0,2903879,industrie,stage,90
sans_emploi,,0,,,70
employe,38.0,2672807,sante,freelance,90
independant,38.0,1180993,sante,stage,90
employe,37.0,3835732,agriculture,cdd,90
etudiant,4.0,463061,education,stage,61
etudiant,0.0,229533,education,stage,56
independant,31.0,3385323,autres,cdd,90
independant,20.0,2779065,agriculture,stage,77
retraite,37.0,439231,education,freelance,90
retraite,29.0,979257,education,freelance,88
etudiant,3.0,496314,education,stage,90
independant,33.0,2020317,informatique,cdi,90
employe,39.0,1591358,services,temporaire,90
sans_emploi,,0,,,75
retraite,25.0,561981,sante,freelance,90
etudiant,4.0,255881,education,stage,55
employe,10.0,1779594,autres,cdd,90
employe,8.0,1390462,services,cdi,90
retraite,25.0,459888,education,freelance,80
independant,3.0,3670971,education,temporaire,70
retraite,36.0,603148,sante,freelance,90
independant,32.0,3769320,industrie,stage,90
independant,16.0,3868886,services,cdi,90
retraite,27.0,857575,sante,freelance,90
sans_emploi,,0,,,62
independant,34.0,3137442,education,freelance,90
independant,9.0,2343200,commerce,freelance,90
employe,9.0,1459682,agriculture,cdd,90
independant,4.0,1140506,autres,cdi,90
retraite,28.0,563096,sante,freelance,87
retraite,23.0,455772,education,freelance,88
independant,36.0,2539894,industrie,freelance,74
retraite,22.0,500778,education,freelance,90
etudiant,4.0,217129,education,stage,70
sans_emploi,,0,,,74
employe,35.0,2591295,autres,stage,90
sans_emploi,,0,,,89
retraite,31.0,496579,education,freelance,90
retraite,23.0,464681,sante,freelance,89
independant,6.0,1067185,industrie,cdd,90
employe,2.0,3182360,sante,freelance,90
etudiant,3.0,202295,education,stage,57
sans_emploi,,0,,,68
retraite,36.0,751666,sante,freelance,90
retraite,34.0,951049,sante,freelance,83
independant,8.0,1181887,education,stage,81
sans_emploi,,0,,,86
employe,28.0,2623143,sante,cdd,90
etudiant,2.0,275864,education,stage,84
independant,38.0,1264345,industrie,stage,73
sans_emploi,,0,,,73
etudiant,1.0,424118,education,stage,73
sans_emploi,,0,,,60
employe,25.0,2249873,informatique,cdd,90
etudiant,3.0,333313,education,stage,58
employe,37.0,2190662,agriculture,temporaire,88
sans_emploi,,0,,,73
sans_emploi,,0,,,62
independant,24.0,2903765,commerce,temporaire,82
etudiant,3.0,438741,education,stage,75
etudiant,0.0,465628,education,stage,77
independant,35.0,2609548,sante,cdd,90
independant,0.0,3796180,services,temporaire,87
employe,9.0,2920657,autres,cdi,90
employe,16.0,2710314,industrie,cdd,90
etudiant,4.0,329460,education,stage,65
retraite,36.0,505494,education,freelance,90
etudiant,2.0,261568,education,stage,66
sans_emploi,,0,,,71
retraite,33.0,835610,education,freelance,90
independant,9.0,1690264,sante,cdd,90
etudiant,2.0,219433,education,stage,90
sans_emploi,,0,,,70
sans_emploi,,0,,,61
retraite,30.0,935208,education,freelance,81
etudiant,5.0,411888,education,stage,67
independant,21.0,2733524,agriculture,cdd,90
independant,3.0,3705758,education,cdd,90
etudiant,5.0,248516,education,stage,75
independant,15.0,3181938,education,temporaire,90
employe,27.0,3640305,sante,temporaire,90
employe,1.0,2242953,autres,freelance,84
retraite,24.0,447664,sante,freelance,84
independant,33.0,1869057,agriculture,temporaire,90
retraite,34.0,513679,education,freelance,89
independant,7.0,3015512,industrie,stage,73
retraite,40.0,577714,sante,freelance,78
etudiant,1.0,340955,education,stage,90
etudiant,4.0,497230,education,stage,75
employe,5.0,3514617,agriculture,cdd,90
etudiant,2.0,438369,education,stage,79
independant,17.0,3771097,sante,freelance,90
sans_emploi,,0,,,79
employe,22.0,1247550,commerce,cdi,90
sans_emploi,,0,,,48
retraite,38.0,773907,education,freelance,90
employe,15.0,1607161,services,temporaire,90
retraite,36.0,766325,education,freelance,90
sans_emploi,,0,,,57
etudiant,4.0,330552,education,stage,89
independant,35.0,3831126,commerce,cdd,85
etudiant,5.0,250792,education,stage,69
sans_emploi,,0,,,88
etudiant,3.0,336917,education,stage,63
retraite,23.0,494853,sante,freelance,90
employe,32.0,2497690,informatique,cdi,90
employe,7.0,2280536,commerce,temporaire,90
independant,17.0,2586782,industrie,cdd,75
sans_emploi,,0,,,61
employe,37.0,2856432,services,temporaire,90
independant,24.0,3441651,services,stage,86
sans_emploi,,0,,,69
etudiant,2.0,414974,education,stage,78
sans_emploi,,0,,,64
etudiant,2.0,402157,education,stage,73
independant,19.0,1768933,education,cdd,90
etudiant,1.0,492557,education,stage,82
retraite,34.0,795315,education,freelance,90
independant,13.0,1817599,commerce,freelance,90
etudiant,3.0,246172,education,stage,80
independant,17.0,3702283,commerce,cdi,90
sans_emploi,,0,,,87
etudiant,4.0,292590,education,stage,64
retraite,20.0,568665,sante,freelance,90
employe,35.0,2791470,informatique,stage,90
sans_emploi,,0,,,81
sans_emploi,,0,,,80
etudiant,0.0,258038,education,stage,69
employe,24.0,1432919,sante,stage,90
employe,2.0,1995717,autres,freelance,90
retraite,32.0,486070,education,freelance,72
sans_emploi,,0,,,70
sans_emploi,,0,,,62
employe,39.0,3083532,agriculture,temporaire,90
employe,14.0,3693213,industrie,stage,90
retraite,25.0,458736,sante,freelance,90
employe,8.0,3751343,agriculture,temporaire,90
employe,33.0,1991851,commerce,cdd,90
independant,38.0,3088172,autres,freelance,90
etudiant,4.0,224393,education,stage,64
sans_emploi,,0,,,67
retraite,29.0,967448,sante,freelance,83
employe,9.0,3612863,services,cdi,90
employe,40.0,3173040,education,temporaire,90
etudiant,2.0,442101,education,stage,64
sans_emploi,,0,,,81
retraite,32.0,929446,sante,freelance,90
employe,14.0,1127881,autres,temporaire,90
employe,28.0,1775905,commerce,cdi,90
employe,32.0,3828551,sante,cdi,90
etudiant,3.0,478510,education,stage,76
sans_emploi,,0,,,78
etudiant,3.0,204836,education,stage,64
employe,27.0,2852032,commerce,cdi,90
employe,26.0,2391731,informatique,cdd,90
employe,11.0,2539639,sante,cdd,90
sans_emploi,,0,,,77
etudiant,4.0,377347,education,stage,67
retraite,38.0,583729,sante,freelance,84
retraite,29.0,787707,sante,freelance,84
independant,22.0,2921605,commerce,cdd,79
independant,32.0,2683521,agriculture,cdd,90
sans_emploi,,0,,,77
sans_emploi,,0,,,58
sans_emploi,,0,,,63
employe,25.0,2106881,autres,cdi,90
sans_emploi,,0,,,72
independant,34.0,3489949,informatique,temporaire,90
employe,10.0,3092419,autres,temporaire,90
sans_emploi,,0,,,61
sans_emploi,,0,,,90
independant,20.0,1366738,agriculture,cdi,90
employe,5.0,2190854,industrie,stage,90
employe,9.0,3365173,industrie,cdd,90
employe,15.0,3176409,informatique,cdd,90
sans_emploi,,0,,,77
employe,0.0,2547007,commerce,stage,90
retraite,33.0,836475,sante,freelance,90
etudiant,1.0,380347,education,stage,85
independant,6.0,2480623,industrie,freelance,78
independant,32.0,2268458,industrie,cdd,90
independant,4.0,3523989,industrie,cdd,78
retraite,33.0,625618,sante,freelance,81
employe,12.0,2252279,agriculture,temporaire,90
etudiant,3.0,404178,education,stage,79
retraite,25.0,431545,sante,freelance,90
employe,14.0,1876590,autres,freelance,90
sans_emploi,,0,,,77
retraite,28.0,446649,sante,freelance,71
independant,35.0,2922186,sante,cdi,90
sans_emploi,,0,,,77
independant,36.0,2755910,sante,temporaire,90
employe,20.0,3578335,services,cdi,90
retraite,40.0,466723,education,freelance,85
retraite,34.0,477030,education,freelance,79
sans_emploi,,0,,,64
etudiant,3.0,358376,education,stage,66
sans_emploi,,0,,,70
sans_emploi,,0,,,72
independant,27.0,1788532,services,cdd,88
etudiant,1.0,223215,education,stage,74
independant,11.0,2986328,informatique,cdd,90
independant,12.0,2649611,services,temporaire,90
etudiant,5.0,464845,education,stage,73
retraite,34.0,709102,education,freelance,89
sans_emploi,,0,,,55
retraite,33.0,587258,education,freelance,86
employe,36.0,3505667,agriculture,temporaire,90
independant,24.0,1357524,industrie,stage,90
retraite,30.0,631189,education,freelance,70
employe,36.0,3543455,informatique,temporaire,90
retraite,20.0,633967,sante,freelance,90
employe,4.0,2812420,commerce,freelance,90
retraite,37.0,717093,education,freelance,90
employe,38.0,3622007,informatique,cdi,90
etudiant,5.0,321915,education,stage,74
etudiant,0.0,353662,education,stage,66
etudiant,1.0,471638,education,stage,90
retraite,34.0,907636,sante,freelance,90
retraite,38.0,901723,education,freelance,90
independant,9.0,3969942,industrie,cdi,90
retraite,26.0,586092,sante,freelance,90
retraite,35.0,505670,sante,freelance,90
employe,34.0,1261998,informatique,temporaire,90
sans_emploi,,0,,,84
sans_emploi,,0,,,80
sans_emploi,,0,,,69
sans_emploi,,0,,,66
employe,38.0,1004863,sante,stage,90
independant,5.0,2435063,agriculture,cdi,87
retraite,25.0,400827,education,freelance,90
sans_emploi,,0,,,76
employe,13.0,2973916,agriculture,temporaire,90
etudiant,2.0,323730,education,stage,79
retraite,23.0,836795,sante,freelance,88
independant,25.0,2535015,sante,freelance,90
retraite,23.0,828437,sante,freelance,90
etudiant,3.0,441951,education,stage,85
sans_emploi,,0,,,78
retraite,30.0,855977,education,freelance,79
retraite,38.0,449013,sante,freelance,78
retraite,27.0,957301,sante,freelance,90
employe,4.0,3046703,education,stage,90
sans_emploi,,0,,,76
employe,6.0,3022760,sante,temporaire,90
employe,28.0,1660758,education,temporaire,90
independant,11.0,1284465,informatique,freelance,90
employe,26.0,2252257,services,cdd,90
retraite,22.0,522167,sante,freelance,78
etudiant,1.0,483793,education,stage,74
employe,3.0,2961390,commerce,cdi,90
sans_emploi,,0,,,55
retraite,23.0,903121,sante,freelance,86
etudiant,1.0,479366,education,stage,74
etudiant,4.0,491827,education,stage,87
sans_emploi,,0,,,73
sans_emploi,,0,,,83
employe,26.0,3439712,industrie,cdd,90
independant,13.0,3353589,commerce,temporaire,90
retraite,38.0,957745,sante,freelance,90
sans_emploi,,0,,,75
etudiant,2.0,281109,education,stage,90
sans_emploi,,0,,,74
retraite,25.0,463128,education,freelance,85
sans_emploi,,0,,,71
retraite,20.0,883677,education,freelance,89
independant,7.0,1397237,education,stage,86
independant,9.0,1219344,commerce,cdd,90
retraite,39.0,664525,sante,freelance,90
employe,23.0,2681615,informatique,cdi,90
retraite,40.0,783363,sante,freelance,90
employe,30.0,3220618,services,temporaire,90
retraite,28.0,879847,education,freelance,71
retraite,26.0,816816,sante,freelance,88
etudiant,2.0,490226,education,stage,63
independant,12.0,1327375,informatique,cdd,82
employe,16.0,1635916,informatique,freelance,90
etudiant,0.0,479511,education,stage,66
sans_emploi,,0,,,87
retraite,30.0,952959,sante,freelance,90
independant,22.0,3971408,education,temporaire,88
etudiant,5.0,443133,education,stage,71
sans_emploi,,0,,,83
employe,17.0,2526487,informatique,stage,90
independant,16.0,2750326,informatique,stage,90
employe,21.0,1413756,agriculture,temporaire,90
retraite,26.0,877999,education,freelance,90
etudiant,5.0,435043,education,stage,83
employe,2.0,1633632,autres,stage,84
