revenu_mensuel,depense_mensuelles,dettes_existantes,nbr_dependant,duree_emploie,situation_bancaire,note_financiere
3851.19,2854.74,1664.99,4,11,bon,36
3894.28,1033.2,28261.24,3,12,excellent,37
1041.34,617.48,13675.25,2,4,mauvais,44
4841.27,1829.49,13302.85,0,4,bon,55
5237.58,3350.87,27014.23,2,8,moyen,59
3387.57,2011.99,17002.34,3,13,excellent,45
2878.75,1633.48,10409.42,5,20,moyen,58
2667.6,1611.52,12887.08,0,2,faible,63
2548.92,926.28,26468.44,0,3,faible,38
3039.61,1084.23,12448.83,1,16,faible,42
1667.62,1083.93,21201.5,4,4,moyen,55
1816.65,935.35,716.99,4,16,mauvais,62
5260.64,4134.74,174.88,1,9,excellent,45
3490.13,2544.94,5119.77,4,0,moyen,36
3724.73,1859.85,9568.24,3,1,excellent,53
5210.4,3167.7,10015.81,5,4,excellent,55
3910.26,2775.13,27586.39,3,6,faible,45
3740.49,2307.47,20231.95,2,9,mauvais,45
3221.61,1659.19,14012.48,3,9,faible,52
1373.27,704.01,20095.34,1,9,bon,56
1409.47,1046.06,5530.69,4,14,excellent,39
4950.7,1980.16,16594.96,4,13,bon,65
5573.17,1557.32,2972.84,4,15,moyen,75
1449.95,738.21,27843.97,4,7,faible,55
2061.61,584.04,7438.94,5,11,excellent,56
2081.57,564.72,20442.92,3,16,moyen,48
2024.0,1609.85,4409.4,1,18,bon,64
3595.35,1393.61,17412.12,4,12,bon,42
5609.81,2173.31,28504.55,4,2,bon,40
1331.19,989.58,584.1,1,15,moyen,38
5002.68,1678.32,26597.01,1,13,mauvais,47
1041.87,806.42,16125.44,3,15,moyen,52
4047.11,1687.25,2122.61,3,2,excellent,62
3308.5,1345.7,23799.06,1,16,bon,64
4295.01,2152.5,12429.88,2,1,faible,56
5936.25,622.97,12301.46,2,14,excellent,40
3877.99,1995.13,12310.25,4,11,bon,59
5821.34,3087.21,8719.26,3,17,mauvais,45
1096.39,781.95,25448.79,2,7,mauvais,54
2410.8,1880.87,10378.58,2,0,moyen,56
3881.39,695.15,11116.65,1,20,excellent,57
5347.0,719.4,18158.78,1,13,excellent,39
4086.9,1861.33,14644.85,3,16,bon,53
3953.98,2950.73,16129.32,2,14,bon,60
5954.9,1568.9,5739.14,1,13,moyen,50
4811.63,2788.54,17833.88,1,19,excellent,63
2894.94,1951.2,27857.81,0,18,faible,48
2843.31,637.61,3251.15,2,11,faible,40
1631.57,1034.75,9162.33,2,0,excellent,47
3027.17,2251.82,1151.6,5,14,moyen,64
4718.35,3540.25,14410.21,0,7,faible,55
4848.83,3600.62,15661.61,3,20,bon,46
1608.23,518.47,23288.86,0,15,excellent,61
1991.03,1096.12,10565.68,2,2,excellent,35
3061.63,1831.35,16929.68,2,4,mauvais,58
5932.03,914.31,10896.2,1,19,moyen,59
1950.63,1079.61,29627.24,1,10,moyen,62
3144.1,2453.73,27115.86,1,8,bon,51
1700.17,571.75,1108.74,5,0,bon,38
1545.85,510.65,13907.08,3,10,faible,39
3193.16,1110.48,18075.66,1,4,moyen,55
2726.55,1665.75,17696.42,1,11,moyen,45
3677.98,1934.85,15772.71,0,9,bon,43
3235.25,535.79,28989.7,0,13,bon,62
3966.79,1551.64,18111.51,5,0,excellent,46
2079.92,1228.45,26910.64,0,14,faible,64
1073.87,640.41,29543.09,4,5,faible,45
4680.45,2316.35,191.76,3,8,excellent,100
1828.85,1264.01,8510.47,1,7,faible,46
5553.52,2568.99,5831.0,4,16,moyen,41
3332.05,2012.3,8851.97,2,3,excellent,65
1420.95,923.34,11886.83,3,13,excellent,56
5355.99,4223.9,4070.85,3,8,bon,41
4555.17,1254.88,20229.31,1,18,mauvais,52
2167.2,577.01,18594.75,2,6,bon,53
5299.63,2280.68,28499.41,0,10,mauvais,63
4389.54,660.81,19200.2,5,3,mauvais,55
3317.09,779.65,20171.66,4,5,moyen,62
3329.45,587.5,10472.26,5,7,bon,39
1023.9,672.79,3292.43,0,10,mauvais,47
4632.29,1834.79,14088.78,4,19,moyen,62
5495.46,3968.38,20605.5,1,2,bon,55
1384.83,693.28,22870.95,1,19,bon,48
2872.13,1178.25,23041.38,0,15,mauvais,54
2950.83,1771.14,22394.12,3,8,moyen,43
2781.54,1641.24,26292.72,5,7,bon,63
3867.41,2790.7,2531.86,3,17,excellent,50
5164.74,1423.21,8769.6,3,9,bon,49
4467.46,993.32,23734.05,2,12,excellent,43
3228.63,1690.92,7734.3,0,4,mauvais,57
5015.56,1557.68,7245.85,4,13,bon,35
2861.78,1486.22,23370.67,2,20,mauvais,35
3422.06,510.88,25365.14,4,11,bon,64
1168.56,606.71,27418.18,2,8,faible,49
3579.7,1932.02,5291.84,1,11,moyen,36
4592.51,2283.78,22497.94,1,20,mauvais,49
5479.46,4128.77,26029.68,5,3,moyen,52
2793.53,1031.56,16386.1,3,7,mauvais,56
4561.44,976.33,21926.93,5,5,excellent,42
2809.58,2048.56,12551.53,0,4,faible,50
4492.01,2089.96,11128.22,1,9,excellent,61
1327.19,707.59,16171.66,4,5,faible,47
3578.81,1273.07,15628.3,3,6,faible,61
2487.51,1297.4,8639.68,4,7,excellent,64
4574.23,1132.2,9662.71,4,8,moyen,54
3558.85,2455.49,22617.61,3,10,mauvais,53
1391.73,714.68,15073.81,3,4,bon,60
4968.06,2608.35,3642.27,3,15,mauvais,57
1954.27,796.22,5444.16,1,18,moyen,43
2222.72,1649.42,1867.46,4,20,bon,39
1486.68,921.73,3838.96,3,12,moyen,37
4349.97,857.31,13886.95,3,12,mauvais,51
5187.65,3184.81,23844.44,5,11,mauvais,43
2859.14,1743.43,1277.24,1,4,faible,39
5257.69,1206.24,29788.38,4,16,faible,49
4582.63,1692.4,4893.14,2,18,excellent,40
4725.35,1952.73,24834.66,3,2,bon,48
2041.94,1224.49,2865.34,1,16,moyen,37
3536.8,519.0,10702.22,0,20,mauvais,43
4782.75,3299.16,16341.46,2,19,moyen,44
5649.74,3369.44,12432.94,5,2,bon,56
2019.68,750.34,4929.0,5,8,excellent,57
5210.32,3535.29,17127.27,1,0,excellent,42
3970.31,1089.29,23109.24,2,14,excellent,55
2975.84,753.34,8812.84,0,17,excellent,55
1726.65,1270.13,27324.19,5,6,moyen,58
2194.53,1708.34,7223.52,2,7,moyen,48
1301.01,671.65,6229.88,0,12,faible,50
1664.4,1101.56,15811.72,0,0,moyen,39
3602.27,1246.26,585.69,1,10,mauvais,83
2436.14,1605.46,16327.65,4,16,mauvais,60
1893.05,1227.3,27647.33,2,7,moyen,63
5858.15,3138.83,16521.39,0,6,bon,54
2838.7,1030.11,2494.83,3,4,excellent,43
3585.56,1108.59,10410.77,5,10,excellent,55
5482.21,599.06,10540.28,5,18,bon,57
3400.06,1623.46,20906.93,5,18,faible,46
2348.31,1658.68,8517.63,5,20,moyen,39
4530.62,1388.14,1281.5,0,15,faible,76
4536.85,1477.83,658.02,4,6,mauvais,100
1934.44,1498.67,24566.27,5,18,excellent,60
3307.97,1503.68,23738.99,5,3,faible,55
1294.34,805.05,20142.36,0,8,faible,55
4599.27,671.06,22784.7,5,20,faible,64
4115.33,2089.42,3484.35,0,6,moyen,55
4089.79,3104.12,15548.45,0,12,mauvais,64
4769.8,956.26,1501.96,4,9,bon,90
3300.19,2291.69,23848.0,0,13,moyen,40
1060.17,781.91,7344.82,0,18,excellent,48
5074.5,2688.9,19616.0,3,4,mauvais,37
4358.48,1285.07,24259.78,3,20,bon,62
1454.73,1059.6,11731.61,1,16,mauvais,48
5191.4,1895.04,20811.19,4,0,mauvais,41
1940.94,540.13,26791.67,1,0,mauvais,51
1351.65,579.95,17342.56,0,16,moyen,38
3790.61,2322.95,22544.04,2,16,mauvais,63
1091.85,556.76,17069.89,4,16,mauvais,42
1395.71,858.86,209.29,4,13,excellent,38
5652.46,2871.87,22863.2,0,5,mauvais,47
1974.99,921.0,11419.82,5,13,moyen,40
1949.77,1515.53,25085.49,3,14,excellent,54
1144.51,841.82,16211.4,1,4,faible,41
4317.76,3050.52,23453.63,5,18,moyen,55
3935.79,1857.14,12939.17,3,20,excellent,57
3775.78,784.21,28198.43,5,14,faible,48
1960.19,1315.99,3002.8,5,1,bon,57
3679.3,1620.5,7302.03,2,20,faible,47
3248.65,577.37,27822.99,5,19,moyen,41
2252.64,1018.74,26737.69,0,17,moyen,50
2407.05,1829.44,23856.39,5,10,bon,37
1527.46,757.27,22577.61,0,2,bon,53
5072.39,1147.93,15592.45,5,10,bon,40
4284.64,1025.87,16814.61,2,16,excellent,46
2711.65,2021.04,23805.69,5,12,moyen,53
4280.23,2033.97,8511.1,0,3,bon,44
5974.83,4669.19,3944.49,1,19,bon,62
4161.41,2289.66,3777.61,5,8,excellent,48
2940.13,1307.32,7819.29,2,20,excellent,59
3339.83,1151.04,19019.93,5,20,excellent,63
4739.06,3302.17,16640.33,3,11,excellent,56
3913.84,2077.09,9603.59,1,11,faible,47
4855.05,3805.15,11497.8,3,15,excellent,45
5342.1,3641.15,10490.09,2,11,moyen,53
2490.24,1117.78,18482.26,2,7,mauvais,39
1425.63,720.14,24562.5,0,6,faible,44
3785.96,2483.14,15463.11,0,11,mauvais,62
4451.67,3475.33,12550.04,2,0,mauvais,55
2557.51,1354.91,29183.89,5,8,bon,58
1455.18,506.05,971.21,2,12,mauvais,55
3063.05,2084.32,13189.59,1,17,excellent,53
2029.42,650.61,23314.11,3,12,excellent,53
5908.35,1699.51,11670.33,5,15,excellent,50
2548.47,1679.12,17187.68,0,17,moyen,52
2756.73,2087.83,23018.98,4,19,excellent,57
2830.6,1289.01,18986.19,2,7,moyen,55
2531.74,1782.88,3009.18,5,20,mauvais,37
2873.77,1127.6,5685.31,3,17,faible,47
3244.24,2425.88,19562.42,3,11,faible,43
3891.08,1912.42,22108.25,3,13,excellent,49
4525.44,3448.85,20713.09,5,20,bon,48
5488.44,3081.39,29442.22,0,7,moyen,36
2549.2,1060.13,13795.19,0,2,excellent,50
1629.54,842.77,3413.79,4,13,mauvais,38
2305.0,1168.44,12096.61,0,7,mauvais,46
1171.26,541.44,1059.06,1,3,bon,47
4970.51,2470.41,13994.2,1,0,moyen,46
4801.97,1556.76,8932.77,5,5,moyen,51
1348.19,821.63,15714.69,5,20,bon,52
4316.07,2300.36,16320.05,2,19,faible,37
3432.16,2441.43,17945.53,5,6,faible,45
1013.69,554.79,11827.31,2,0,moyen,64
4363.62,3013.05,15756.52,2,4,faible,55
2155.21,1354.59,22260.14,1,12,mauvais,51
5832.85,1897.22,4518.69,1,7,moyen,55
5563.33,2732.59,29530.03,0,19,excellent,38
5061.39,1154.26,24247.06,4,3,faible,65
2449.14,1769.81,27506.98,2,3,excellent,50
3190.89,980.92,2487.95,0,2,excellent,56
3548.06,2570.84,12783.75,0,0,mauvais,50
4052.7,1625.25,29753.77,0,10,moyen,65
2061.12,1581.02,1550.21,3,15,faible,49
4960.76,924.91,20275.11,4,13,moyen,40
4513.07,3229.07,10922.07,3,12,bon,45
5496.65,586.85,6034.84,1,4,bon,53
3958.23,2313.37,24146.69,5,1,mauvais,58
2104.53,761.33,17310.06,2,4,moyen,54
3303.86,1470.26,20503.9,2,4,excellent,44
2942.69,1061.73,16439.9,2,3,bon,52
3174.04,1413.08,29436.04,1,9,excellent,59
1266.24,872.47,20271.76,2,6,mauvais,48
5529.27,528.33,23319.43,1,8,mauvais,56
5996.81,4243.35,5063.55,2,12,excellent,52
1389.89,669.01,6072.29,4,20,moyen,42
3560.5,1612.25,7293.08,0,14,faible,44
2897.18,1621.77,9798.51,2,0,mauvais,63
1562.29,778.06,5805.52,0,3,faible,46
3145.06,1899.16,28547.3,0,14,excellent,54
2618.47,651.67,19327.79,4,17,faible,53
3236.55,792.16,10880.47,0,11,excellent,55
4456.23,3540.83,13895.8,0,15,moyen,38
3412.82,2725.64,12814.3,2,0,moyen,60
4323.62,798.61,2731.56,4,12,moyen,55
2930.91,2263.58,7197.43,4,3,mauvais,47
5801.16,1493.78,22766.54,0,15,moyen,61
2453.93,1524.15,644.21,3,16,faible,64
4754.19,1480.52,12127.65,3,20,moyen,35
5245.38,2324.82,3949.08,1,15,moyen,37
4928.78,2496.37,27436.05,5,9,mauvais,40
4780.96,3412.35,15484.6,4,8,excellent,48
2559.42,1518.82,2258.76,4,16,excellent,38
2713.71,1016.11,17860.91,2,12,faible,64
5759.84,594.38,25477.46,2,13,moyen,64
4120.14,615.93,4345.75,2,18,moyen,43
2728.5,1460.2,5383.25,0,5,excellent,47
5333.76,721.85,21952.06,0,2,excellent,45
5586.42,3307.93,9831.19,2,0,faible,55
1430.65,1014.13,5245.28,5,12,faible,56
4827.16,3639.83,15439.93,1,19,excellent,46
1745.19,753.82,18788.04,2,12,faible,43
2571.84,1193.78,5927.95,4,12,bon,50
3442.06,2337.74,28742.38,4,6,bon,45
2068.31,839.12,11492.91,0,9,bon,54
5448.28,2594.98,16483.89,5,1,excellent,44
3711.11,2650.72,23693.28,4,20,excellent,61
4195.08,2192.75,24630.85,2,15,bon,57
1302.8,975.27,23799.44,3,17,moyen,38
2440.48,788.49,6146.56,1,15,bon,53
1137.65,663.45,23649.59,1,19,bon,52
3243.92,891.66,22103.42,0,5,faible,55
1106.15,728.25,12059.29,2,7,excellent,36
2219.69,1196.7,14661.84,2,3,faible,54
3261.11,834.28,157.2,3,4,faible,98
3117.64,556.81,4517.58,0,6,moyen,52
5398.34,4206.51,8886.16,2,13,bon,47
2795.75,724.87,17146.98,0,8,bon,53
5344.14,1263.67,21086.41,5,19,moyen,42
2999.21,606.66,12937.73,2,6,bon,51
4572.58,896.6,14658.45,4,9,mauvais,37
4145.7,1171.53,8328.8,3,6,bon,56
2121.55,601.77,2404.43,5,4,mauvais,44
3837.27,992.33,15828.88,1,1,moyen,43
1761.62,545.36,28964.56,5,13,bon,45
5568.16,2943.77,23482.39,4,5,mauvais,63
5119.13,2174.23,15933.69,3,20,mauvais,50
1186.07,836.64,9873.66,3,10,mauvais,58
2749.95,665.39,17932.26,2,0,excellent,54
1987.51,1015.72,5861.05,3,0,excellent,38
1658.66,1185.66,27797.55,1,13,bon,45
2285.29,1627.32,7483.42,4,7,moyen,45
4662.03,814.2,22434.36,2,9,excellent,45
5172.16,3792.61,21278.57,5,13,excellent,46
1599.01,508.53,7663.29,0,20,bon,63
5021.78,2550.81,1384.51,2,3,faible,76
4292.92,1060.85,874.7,1,19,mauvais,96
5803.38,2503.87,13008.32,5,13,moyen,65
1019.04,587.35,24406.93,1,5,mauvais,38
3837.74,2181.88,983.83,4,14,bon,60
3159.31,645.0,14231.13,2,11,moyen,59
1074.31,846.75,1966.93,5,16,moyen,61
2799.34,1730.15,28035.25,0,6,excellent,39
5185.37,1247.64,12787.48,2,4,excellent,39
1374.44,705.89,9312.13,3,7,moyen,48
3327.2,2572.86,8556.09,5,9,excellent,55
2564.4,1199.79,8787.76,3,3,bon,38
3535.37,2352.47,5591.8,3,1,excellent,64
2597.24,1617.96,14403.27,4,1,excellent,50
2143.69,684.46,4931.13,4,12,faible,45
2327.82,1396.8,4473.27,5,3,faible,47
5713.57,3740.44,18947.72,4,7,mauvais,65
1670.57,875.77,13621.45,5,0,moyen,41
3806.86,2203.6,6034.26,2,1,bon,58
1421.71,754.96,9627.19,1,19,excellent,46
2490.48,1938.3,28100.2,1,17,faible,56
3490.77,1903.8,6747.13,4,20,faible,46
5905.2,523.88,23230.37,5,0,faible,55
5201.51,2017.78,10935.54,2,14,faible,55
3880.09,1482.49,737.04,3,14,faible,56
3377.27,629.06,18105.91,4,11,excellent,42
3589.04,1319.19,29914.33,0,2,bon,52
1596.32,1079.74,27402.95,4,14,bon,42
5500.13,1544.57,9157.09,1,3,bon,60
1102.95,717.57,1136.17,2,17,bon,63
2300.76,779.45,22211.63,0,3,bon,53
2678.62,1152.85,8224.6,2,3,bon,63
1765.76,1142.97,10435.53,2,8,faible,44
2208.18,1731.19,6431.38,2,20,moyen,45
3893.68,2417.68,11966.1,4,15,moyen,47
4741.68,654.17,6579.2,2,10,faible,62
3803.5,2342.47,24439.53,5,4,excellent,52
2661.78,575.19,10702.22,4,5,bon,35
1399.92,991.63,9375.06,3,15,bon,50
5068.73,1271.21,16256.99,5,3,mauvais,58
1722.79,1159.29,18322.49,1,13,faible,63
2021.55,1219.97,2102.04,5,8,moyen,52
5172.24,1941.73,11951.3,1,19,bon,48
5067.08,2318.1,9643.66,1,17,mauvais,64
4106.76,1982.98,14039.19,1,1,mauvais,44
1117.66,859.47,21276.7,1,16,moyen,54
3869.94,2770.13,2312.71,4,11,bon,50
1146.74,652.82,9088.31,2,0,bon,43
4654.96,2227.44,8129.56,0,7,moyen,42
1705.97,997.92,20192.89,2,8,moyen,39
5107.94,2490.89,18254.11,0,18,bon,46
2051.56,1602.54,21117.42,0,11,mauvais,63
1797.13,689.06,6260.78,3,18,excellent,43
5977.0,4663.69,22023.95,0,18,faible,64
3040.4,2196.54,18891.52,4,11,faible,48
5757.78,637.39,10925.02,1,4,mauvais,44
5395.25,2945.18,26478.7,1,0,mauvais,40
2899.29,510.33,13255.69,4,7,bon,41
5293.37,1336.81,26769.51,5,8,faible,51
1849.75,1374.32,19624.32,2,8,bon,46
2166.86,1656.01,25971.23,5,11,moyen,46
4333.13,826.03,16838.13,2,8,bon,38
3807.76,2903.17,23331.13,5,13,bon,40
4538.12,1646.28,22299.31,0,8,moyen,42
5617.23,2973.66,5627.17,0,11,moyen,63
1079.8,835.79,3702.36,2,14,excellent,43
3002.03,2391.1,6414.24,1,8,excellent,56
1416.01,1024.34,9381.44,0,5,mauvais,57
5150.72,1455.92,16131.53,4,3,mauvais,45
1113.94,783.6,8061.67,2,11,mauvais,46
2572.97,1193.25,20808.5,3,8,excellent,38
1023.3,658.92,21338.11,1,1,faible,44
5962.35,3259.57,5243.36,3,19,excellent,40
3556.85,2132.72,11240.88,2,20,mauvais,38
4157.03,2079.76,11139.24,5,4,faible,55
3399.54,1275.13,27724.34,5,8,excellent,47
1541.66,671.08,12770.94,5,16,mauvais,39
4151.35,3317.45,12727.76,5,15,mauvais,52
4588.33,3222.43,6526.43,4,1,faible,45
4258.49,3276.22,2926.73,5,14,faible,36
2276.96,561.76,14389.74,2,7,excellent,61
2661.37,1187.65,8380.19,1,7,bon,52
4220.99,2794.47,8462.27,5,16,mauvais,59
1251.75,744.05,3009.32,5,4,mauvais,58
3948.77,2978.07,22286.24,4,10,excellent,45
2359.55,1369.37,8272.2,4,0,moyen,45
3924.67,832.54,7873.61,0,12,bon,45
1025.93,664.5,23602.16,3,18,moyen,39
1617.87,1042.21,27487.03,0,4,moyen,40
3190.96,1391.06,13473.84,3,7,faible,46
1372.43,1046.67,7633.63,4,3,mauvais,57
3314.79,942.57,23094.69,5,11,faible,48
1735.01,1262.83,17413.26,0,2,excellent,45
3396.56,1299.23,26682.69,4,14,moyen,49
1853.32,1022.94,17231.83,4,8,excellent,63
1632.67,1207.21,1605.36,0,6,mauvais,55
