statut_familial,nbr_dependant,date_naissance,score_familial
Veuf/Veuve,3,1987-06-12,78
Célibataire,3,2000-03-01,73
Célibataire,5,2001-09-29,74
Veuf/Veuve,5,1957-10-04,70
Veuf/Veuve,3,1993-03-17,80
Célibataire,3,1994-10-04,71
Célibataire,2,1968-04-09,61
Marié(e),2,1984-02-20,71
Divorcé(e),3,2000-04-26,64
Veuf/Veuve,0,1965-03-25,80
Marié(e),3,1995-06-23,68
Veuf/Veuve,2,1995-08-26,76
Veuf/Veuve,5,1963-06-30,75
Veuf/Veuve,2,1977-10-31,75
Marié(e),5,1997-07-06,64
Célibataire,0,1963-04-30,66
Célibataire,5,1988-05-24,62
Célibataire,4,1984-07-15,70
Célibataire,3,1986-09-08,70
Veuf/Veuve,5,1959-07-31,74
Divorcé(e),2,1964-04-04,64
Marié(e),1,1998-03-23,68
Célibataire,2,1987-12-10,61
Divorcé(e),4,1975-04-03,63
Célibataire,4,1978-12-16,60
Marié(e),2,1982-09-07,82
Divorcé(e),0,1971-03-29,61
Veuf/Veuve,0,1967-09-10,80
Célibataire,0,2002-07-22,73
Veuf/Veuve,3,1995-08-31,75
Marié(e),2,1982-12-03,85
Divorcé(e),4,1962-08-02,60
Marié(e),1,1959-06-06,85
Célibataire,2,1994-09-19,80
Veuf/Veuve,3,1994-08-15,76
Divorcé(e),1,2000-12-05,56
Divorcé(e),3,1964-11-29,62
Veuf/Veuve,4,1982-08-20,70
Marié(e),3,1959-11-18,80
Marié(e),2,1973-11-30,81
Divorcé(e),2,1984-05-26,56
Célibataire,3,1993-08-07,72
Marié(e),3,2002-09-29,68
Divorcé(e),0,1990-08-03,55
Veuf/Veuve,0,1996-03-18,71
Divorcé(e),4,1993-06-23,64
Veuf/Veuve,5,1992-06-08,74
Célibataire,3,1956-11-01,65
Marié(e),4,1996-03-29,69
Célibataire,3,1964-06-17,63
Veuf/Veuve,4,1990-11-21,78
Célibataire,3,1982-10-20,65
Marié(e),2,1970-01-18,80
Célibataire,4,2000-09-18,73
Divorcé(e),2,1968-03-19,61
Célibataire,1,1977-12-05,63
Marié(e),4,1968-09-05,84
Célibataire,1,1999-04-18,77
Veuf/Veuve,5,1983-12-17,80
Divorcé(e),1,1994-06-02,56
Veuf/Veuve,3,1982-02-17,74
Célibataire,2,2000-06-24,71
Divorcé(e),3,1995-07-05,55
Célibataire,2,1980-09-19,61
Célibataire,4,2000-06-15,76
Veuf/Veuve,4,1958-08-24,77
Marié(e),2,1997-08-20,73
Marié(e),0,1995-05-20,66
Divorcé(e),5,1962-07-13,64
Marié(e),0,1977-03-11,85
Veuf/Veuve,3,2001-12-24,78
Marié(e),2,1988-05-31,69
Veuf/Veuve,3,1985-04-27,80
Célibataire,5,1984-12-26,61
Divorcé(e),0,1989-08-23,59
Divorcé(e),5,1968-06-15,62
Célibataire,4,1967-08-27,65
Divorcé(e),5,1990-02-16,57
Célibataire,2,1988-10-04,70
Divorcé(e),1,2002-03-10,56
Veuf/Veuve,4,1987-06-05,70
Divorcé(e),2,1971-02-19,61
Divorcé(e),3,1972-03-10,61
Marié(e),1,1961-11-20,82
Célibataire,4,2003-05-23,78
Célibataire,5,1985-03-06,69
Marié(e),4,1988-10-05,66
Marié(e),1,1969-10-25,85
Veuf/Veuve,0,1991-10-29,75
Marié(e),3,1980-07-11,85
Veuf/Veuve,1,2002-11-15,73
Divorcé(e),3,1972-05-15,62
Veuf/Veuve,3,1980-03-30,76
Veuf/Veuve,1,1972-11-17,79
Marié(e),2,1959-08-24,85
Veuf/Veuve,2,1964-03-02,78
Célibataire,2,1962-06-28,62
Divorcé(e),3,2001-01-07,57
Veuf/Veuve,0,1974-11-19,77
Divorcé(e),0,1992-03-09,55
Veuf/Veuve,4,1988-07-06,73
Veuf/Veuve,0,1988-08-07,73
Célibataire,2,1963-11-08,70
Divorcé(e),1,1967-04-23,60
Divorcé(e),3,1967-06-01,65
Veuf/Veuve,3,1955-06-09,71
Célibataire,2,1974-04-24,62
Veuf/Veuve,0,1980-10-23,73
Divorcé(e),0,1959-04-01,61
Veuf/Veuve,5,1995-12-22,71
Célibataire,3,2003-01-21,70
Marié(e),5,1967-11-05,80
Veuf/Veuve,0,1986-08-14,73
Veuf/Veuve,1,1962-08-24,78
Divorcé(e),0,2002-02-27,63
Célibataire,3,1997-02-21,70
Veuf/Veuve,2,1977-09-20,70
Divorcé(e),0,1985-11-24,58
Célibataire,4,1984-10-17,62
Célibataire,2,1985-05-03,70
Marié(e),5,1996-08-24,70
Marié(e),1,1960-08-16,85
Veuf/Veuve,0,1981-04-16,73
Célibataire,1,1958-09-22,65
Divorcé(e),4,1990-09-10,63
Veuf/Veuve,2,1958-04-01,80
Marié(e),2,1986-12-28,65
Divorcé(e),2,1966-02-17,62
Veuf/Veuve,3,1994-06-01,76
Divorcé(e),1,1999-06-25,62
Divorcé(e),4,1978-11-22,60
Veuf/Veuve,0,1993-08-06,79
Marié(e),4,1981-04-27,81
Célibataire,0,1984-05-20,70
Divorcé(e),2,1994-12-20,64
Veuf/Veuve,1,1994-10-15,75
Veuf/Veuve,0,1986-08-05,79
Veuf/Veuve,2,1960-02-10,71
Veuf/Veuve,2,2000-12-29,80
Marié(e),0,1967-10-10,84
Veuf/Veuve,0,1966-04-16,71
Marié(e),5,1987-10-30,68
Veuf/Veuve,4,1957-11-14,79
Marié(e),5,1995-05-01,68
Divorcé(e),3,1961-11-11,64
Marié(e),4,1987-11-20,70
Divorcé(e),5,1979-12-20,61
Célibataire,0,1971-08-28,67
Veuf/Veuve,4,1965-07-12,74
Divorcé(e),5,1995-01-01,58
Divorcé(e),5,1999-01-12,58
Célibataire,1,1961-08-10,67
Marié(e),5,1994-11-24,64
Divorcé(e),5,1986-02-18,56
Divorcé(e),2,1969-02-04,65
Marié(e),2,2000-08-09,68
Célibataire,1,1967-06-04,63
Veuf/Veuve,0,1987-05-05,78
Divorcé(e),3,1966-08-10,64
Célibataire,0,1982-09-17,66
Veuf/Veuve,4,1991-10-26,76
Célibataire,1,1983-05-29,70
Célibataire,3,1996-10-03,80
Divorcé(e),1,1971-04-16,61
Veuf/Veuve,4,1959-12-08,71
Marié(e),2,1969-09-26,81
Divorcé(e),5,1975-03-12,62
Divorcé(e),0,1977-06-12,61
Divorcé(e),1,1982-02-17,64
Célibataire,4,1970-02-03,69
Marié(e),1,1985-04-03,74
Célibataire,0,1962-04-02,60
Divorcé(e),5,1973-11-16,64
Veuf/Veuve,4,1957-09-06,77
Divorcé(e),5,1982-01-25,63
Marié(e),5,1991-05-25,67
Veuf/Veuve,0,1960-05-04,72
Veuf/Veuve,3,1998-05-29,77
Marié(e),2,1967-11-08,82
Divorcé(e),5,1985-12-13,61
Marié(e),2,2001-03-01,73
Célibataire,2,1976-08-26,67
Célibataire,2,1995-04-20,73
Marié(e),0,1959-07-04,82
Veuf/Veuve,4,1992-06-23,73
Marié(e),2,1983-01-08,81
Marié(e),3,2001-02-21,72
Veuf/Veuve,2,1999-08-02,70
Célibataire,3,2000-04-23,77
Marié(e),1,1986-08-16,65
Célibataire,2,1999-05-13,79
Veuf/Veuve,2,2003-02-11,70
Célibataire,3,1966-12-24,64
Divorcé(e),3,1987-10-18,55
Veuf/Veuve,0,1972-06-05,75
Divorcé(e),0,1989-08-16,63
Veuf/Veuve,4,1980-01-22,79
Célibataire,1,1963-08-22,66
Divorcé(e),2,1987-10-07,57
Marié(e),4,2000-08-21,70
Célibataire,0,1958-06-16,62
Divorcé(e),3,2001-07-22,62
Marié(e),4,2001-03-19,66
Divorcé(e),4,1983-07-17,61
Veuf/Veuve,4,1981-10-23,79
Divorcé(e),4,2000-09-10,63
Veuf/Veuve,5,1981-11-10,77
Célibataire,2,1984-09-06,70
Célibataire,3,1982-07-26,70
Célibataire,4,1997-07-17,74
Marié(e),5,1959-07-28,82
Veuf/Veuve,1,2001-12-30,80
Veuf/Veuve,1,1976-09-10,70
Célibataire,1,1956-08-30,67
Divorcé(e),3,1968-07-20,63
Marié(e),3,1999-12-26,74
Veuf/Veuve,5,1960-07-20,72
Marié(e),4,1984-02-16,74
Veuf/Veuve,4,1988-10-08,75
Marié(e),3,2002-10-17,70
Divorcé(e),5,1978-09-06,64
Veuf/Veuve,1,1977-01-29,74
Divorcé(e),1,1981-08-31,62
Marié(e),5,1998-11-01,68
Veuf/Veuve,2,1979-07-01,74
Célibataire,4,2003-09-12,76
Veuf/Veuve,2,1968-02-08,74
Célibataire,2,1962-01-20,65
Veuf/Veuve,5,1977-12-21,77
Marié(e),1,2003-04-14,69
Divorcé(e),1,1964-10-06,64
Marié(e),1,1959-07-09,85
Marié(e),5,1975-11-08,78
Célibataire,3,1984-08-06,67
Célibataire,5,1967-04-19,60
Marié(e),3,1997-08-22,72
Marié(e),2,1983-10-12,82
Célibataire,0,1975-10-19,68
Célibataire,1,1992-06-15,72
Célibataire,3,1999-05-29,72
Divorcé(e),0,1955-10-18,62
Célibataire,2,1980-06-29,67
Veuf/Veuve,1,2000-03-14,77
Divorcé(e),1,1965-01-26,62
Marié(e),5,1996-02-19,73
Divorcé(e),5,1971-09-02,60
Divorcé(e),2,1972-04-17,61
Veuf/Veuve,3,2001-03-11,75
Célibataire,3,1963-07-10,62
Marié(e),3,1983-12-30,81
Célibataire,2,1989-05-17,73
Veuf/Veuve,2,1984-07-15,74
Célibataire,2,1987-03-22,63
Célibataire,5,1965-07-27,67
Divorcé(e),1,1991-05-03,65
Divorcé(e),5,1965-07-01,65
Divorcé(e),2,1974-10-11,61
Marié(e),3,1968-09-15,83
Divorcé(e),3,1997-03-16,63
Marié(e),1,1962-04-23,84
Veuf/Veuve,4,1987-06-03,71
Célibataire,0,2000-04-24,73
Marié(e),1,1984-05-26,73
Veuf/Veuve,0,1973-05-23,79
Veuf/Veuve,0,2000-10-01,77
Célibataire,3,1966-10-20,68
Veuf/Veuve,3,1960-02-22,78
Veuf/Veuve,5,1982-08-12,70
Veuf/Veuve,2,1955-03-27,73
Célibataire,0,1992-12-22,75
Célibataire,4,1960-05-15,61
Veuf/Veuve,0,1980-09-20,76
Marié(e),1,1992-09-04,70
Veuf/Veuve,3,1988-10-30,76
Célibataire,5,2003-05-07,72
Divorcé(e),0,1970-12-23,64
Veuf/Veuve,4,1966-05-22,73
Célibataire,0,1981-09-24,67
Veuf/Veuve,4,1988-12-28,73
Marié(e),3,1986-01-07,67
Divorcé(e),1,1965-02-01,60
Veuf/Veuve,4,1956-05-14,73
Marié(e),0,1964-01-07,84
Célibataire,3,1959-05-02,63
Célibataire,3,1994-05-06,73
Marié(e),0,1967-07-15,84
Divorcé(e),1,1983-07-29,64
Divorcé(e),1,1982-01-14,61
Marié(e),3,1981-12-03,82
Célibataire,4,1970-09-04,70
Veuf/Veuve,4,1999-06-06,70
Divorcé(e),5,1989-02-27,63
Divorcé(e),5,1992-04-25,61
Marié(e),2,1988-09-26,67
Veuf/Veuve,1,1975-03-08,74
Marié(e),3,1960-02-19,84
Veuf/Veuve,3,2002-07-06,72
Veuf/Veuve,1,1977-11-03,73
Divorcé(e),5,1962-01-21,63
Divorcé(e),0,2003-01-07,58
Célibataire,2,1988-10-20,70
Célibataire,0,1971-11-05,69
Marié(e),3,1973-09-14,82
Divorcé(e),0,1973-12-19,61
Célibataire,5,1997-12-06,73
Marié(e),3,1976-06-08,84
Divorcé(e),2,1989-02-11,62
Divorcé(e),2,1978-06-06,62
Veuf/Veuve,3,1963-10-24,77
Divorcé(e),1,1988-03-22,60
Veuf/Veuve,0,1974-10-25,72
Célibataire,2,1992-06-05,74
Marié(e),1,1984-07-23,68
Veuf/Veuve,4,1977-01-04,77
Divorcé(e),2,1998-10-20,65
Veuf/Veuve,3,1970-01-21,75
Marié(e),1,1998-10-10,67
Célibataire,4,1957-12-31,61
Célibataire,0,1991-12-18,72
Marié(e),0,1968-07-06,80
Marié(e),4,1995-11-16,69
Célibataire,4,1998-04-25,80
Veuf/Veuve,0,1955-07-23,78
Veuf/Veuve,0,1956-06-19,78
Divorcé(e),4,1980-09-07,60
Veuf/Veuve,1,1964-07-25,71
Marié(e),1,1972-03-08,84
Divorcé(e),2,1978-12-12,63
Célibataire,2,1991-05-23,77
Marié(e),5,1975-03-24,80
Célibataire,5,1957-10-22,61
Veuf/Veuve,3,1988-10-20,78
Veuf/Veuve,0,1955-10-24,72
Célibataire,3,1993-11-22,80
Divorcé(e),4,1963-07-09,64
Célibataire,1,1973-12-06,69
Veuf/Veuve,2,1959-02-21,71
Divorcé(e),4,1957-12-01,61
Divorcé(e),0,1973-07-20,64
Marié(e),5,1990-09-12,64
Divorcé(e),1,1976-07-15,64
Veuf/Veuve,5,2003-06-18,75
Veuf/Veuve,5,1967-07-09,71
Divorcé(e),0,1963-09-23,63
Marié(e),0,1985-07-09,74
Veuf/Veuve,2,1957-08-15,80
Divorcé(e),3,1998-12-24,58
Divorcé(e),4,1988-08-23,61
Marié(e),5,1989-01-23,64
Divorcé(e),1,1961-07-23,60
Divorcé(e),1,1989-01-20,65
Marié(e),5,1989-12-02,68
Divorcé(e),0,1963-03-05,60
Divorcé(e),3,1987-04-03,59
Célibataire,1,1962-10-18,62
Veuf/Veuve,3,2000-12-08,76
Célibataire,0,1963-01-02,65
Célibataire,4,1984-01-26,66
Célibataire,2,1992-02-02,76
Célibataire,5,1976-09-28,69
Marié(e),5,1989-02-13,65
Marié(e),2,1981-12-24,82
Veuf/Veuve,1,1960-08-22,72
Veuf/Veuve,2,1992-09-28,74
Veuf/Veuve,0,1987-05-13,74
Marié(e),5,1999-06-12,72
Marié(e),3,1964-07-24,81
Divorcé(e),0,1990-06-19,60
Veuf/Veuve,2,1994-06-17,75
Veuf/Veuve,5,1967-03-06,74
Divorcé(e),4,1972-12-25,63
Divorcé(e),1,1990-09-10,60
Divorcé(e),5,1999-01-06,64
Marié(e),2,1988-09-13,69
Veuf/Veuve,2,1965-03-07,79
Marié(e),4,2003-12-01,66
Célibataire,5,1996-05-18,73
Veuf/Veuve,2,1961-03-03,76
Veuf/Veuve,1,1982-02-18,73
Divorcé(e),5,1968-10-16,65
Veuf/Veuve,3,1961-08-07,77
Veuf/Veuve,4,1990-12-03,78
Veuf/Veuve,4,1958-04-06,75
Célibataire,0,1977-03-27,70
Divorcé(e),1,1958-12-09,64
Veuf/Veuve,2,1993-08-01,71
Célibataire,0,1978-03-06,63
Marié(e),3,1988-07-12,71
Veuf/Veuve,5,1999-11-12,72
Divorcé(e),0,1998-04-11,56
Divorcé(e),3,1962-09-01,60
Marié(e),2,1982-12-12,82
Veuf/Veuve,1,2001-09-18,77
Divorcé(e),3,1963-09-21,63
Veuf/Veuve,2,1960-12-28,74
Célibataire,5,1965-04-16,60
Divorcé(e),5,1964-10-10,65
Marié(e),5,1976-11-05,82
Marié(e),4,1969-05-01,81
Veuf/Veuve,3,1975-10-07,76
Marié(e),1,1993-09-25,71
Célibataire,5,1972-08-31,67
Veuf/Veuve,3,1955-05-13,73
Marié(e),2,1960-07-30,84
Célibataire,4,1971-09-27,65
Divorcé(e),1,1996-01-06,56
Divorcé(e),5,1998-11-17,63
Divorcé(e),4,1989-10-30,64
Veuf/Veuve,4,1965-03-19,75
Divorcé(e),3,1970-06-11,65
Divorcé(e),4,1962-07-27,65
Marié(e),2,1965-07-16,81
Divorcé(e),0,1971-05-22,62
Marié(e),4,1989-10-25,70
Marié(e),4,1989-05-22,70
Marié(e),3,2003-03-05,75
Marié(e),4,1969-12-07,82
Divorcé(e),1,1971-10-01,62
Veuf/Veuve,4,1959-10-10,75
Célibataire,3,1967-03-19,63
Veuf/Veuve,4,2000-04-23,80
Veuf/Veuve,3,1999-01-29,76
Veuf/Veuve,3,1969-12-20,71
Célibataire,1,1981-03-03,60
Divorcé(e),1,2003-03-13,59
Marié(e),3,1999-05-27,73
Célibataire,4,1965-03-18,64
Divorcé(e),4,1958-09-12,65
Veuf/Veuve,4,1974-07-28,76
Célibataire,5,1977-03-04,64
Célibataire,3,1978-07-17,65
Célibataire,3,1965-06-30,63
Marié(e),5,1986-06-03,72
Veuf/Veuve,1,1967-06-16,73
Marié(e),0,1986-06-09,73
